ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss
 19.6 ,"Holder to Boult, 2 runs, quite full and straight, Boult swats it through mid-wicket. They have to come back for the second and they do as well. RR finish on 165/6!",RR Inns,20t,Rajasthan Royals,Lucknow Super Giants,"Rajasthan Royals (Playing XI): Jos Buttler, Rassie van der Dussen, Devdutt Padikkal, Sanju Samson(w/c), Shimron Hetmyer, Riyan Parag, Kuldeep Sen, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Yuzvendra Chahal","Lucknow Super Giants (Playing XI): KL Rahul(c), Quinton de Kock(w), Marcus Stoinis, Deepak Hooda, Ayush Badoni, Krunal Pandya, Jason Holder, Krishnappa Gowtham, Dushmantha Chameera, Ravi Bishnoi, Avesh Khan",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 10,2022",Lucknow Super Giants have won the toss and have opted to field
 19.5 ," Holder to Riyan Parag, out Caught by Gowtham!! Short ball, rushes Parag on the pull a bit and the result is a mistimed hit towards the right of deep backward square leg. Gowtham the fielder there, rushes forward and completes a neat diving catch. Sharp take. Riyan Parag c Gowtham b Holder 8(4) [6s-1] ",RR Inns,20t,Rajasthan Royals,Lucknow Super Giants,"Rajasthan Royals (Playing XI): Jos Buttler, Rassie van der Dussen, Devdutt Padikkal, Sanju Samson(w/c), Shimron Hetmyer, Riyan Parag, Kuldeep Sen, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Yuzvendra Chahal","Lucknow Super Giants (Playing XI): KL Rahul(c), Quinton de Kock(w), Marcus Stoinis, Deepak Hooda, Ayush Badoni, Krunal Pandya, Jason Holder, Krishnappa Gowtham, Dushmantha Chameera, Ravi Bishnoi, Avesh Khan",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 10,2022",Lucknow Super Giants have won the toss and have opted to field
 19.4 ," Holder to Riyan Parag, SIX, juicy full toss on the hips, easy peasy for even a new batter like Parag. Goes down on one knee and slog sweeps merrily over deep square leg. Holder is getting a pasting here. Probably was a slower ball that went horribly wrong ",RR Inns,20t,Rajasthan Royals,Lucknow Super Giants,"Rajasthan Royals (Playing XI): Jos Buttler, Rassie van der Dussen, Devdutt Padikkal, Sanju Samson(w/c), Shimron Hetmyer, Riyan Parag, Kuldeep Sen, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Yuzvendra Chahal","Lucknow Super Giants (Playing XI): KL Rahul(c), Quinton de Kock(w), Marcus Stoinis, Deepak Hooda, Ayush Badoni, Krunal Pandya, Jason Holder, Krishnappa Gowtham, Dushmantha Chameera, Ravi Bishnoi, Avesh Khan",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 10,2022",Lucknow Super Giants have won the toss and have opted to field
 19.3 ," Holder to Hetmyer, 1 run, short of a length, wider, Hetmyer heaves but doesn't time it properly, hits it to deep mid-wicket ",RR Inns,20t,Rajasthan Royals,Lucknow Super Giants,"Rajasthan Royals (Playing XI): Jos Buttler, Rassie van der Dussen, Devdutt Padikkal, Sanju Samson(w/c), Shimron Hetmyer, Riyan Parag, Kuldeep Sen, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Yuzvendra Chahal","Lucknow Super Giants (Playing XI): KL Rahul(c), Quinton de Kock(w), Marcus Stoinis, Deepak Hooda, Ayush Badoni, Krunal Pandya, Jason Holder, Krishnappa Gowtham, Dushmantha Chameera, Ravi Bishnoi, Avesh Khan",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 10,2022",Lucknow Super Giants have won the toss and have opted to field
 19.2 ," Holder to Hetmyer, SIX, Hetmyer is whacking sixes for fun! He is showing absolute contempt for his fellow West Indian. Holder was trying the yorker, dished out a full toss and got heaved over deep mid-wicket. Clean strike ",RR Inns,20t,Rajasthan Royals,Lucknow Super Giants,"Rajasthan Royals (Playing XI): Jos Buttler, Rassie van der Dussen, Devdutt Padikkal, Sanju Samson(w/c), Shimron Hetmyer, Riyan Parag, Kuldeep Sen, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Yuzvendra Chahal","Lucknow Super Giants (Playing XI): KL Rahul(c), Quinton de Kock(w), Marcus Stoinis, Deepak Hooda, Ayush Badoni, Krunal Pandya, Jason Holder, Krishnappa Gowtham, Dushmantha Chameera, Ravi Bishnoi, Avesh Khan",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 10,2022",Lucknow Super Giants have won the toss and have opted to field
 19.1 ," Holder to Riyan Parag, 1 run, slower ball on middle and leg, Parag heaves and gets a thick inside edge behind square leg ",RR Inns,20t,Rajasthan Royals,Lucknow Super Giants,"Rajasthan Royals (Playing XI): Jos Buttler, Rassie van der Dussen, Devdutt Padikkal, Sanju Samson(w/c), Shimron Hetmyer, Riyan Parag, Kuldeep Sen, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Yuzvendra Chahal","Lucknow Super Giants (Playing XI): KL Rahul(c), Quinton de Kock(w), Marcus Stoinis, Deepak Hooda, Ayush Badoni, Krunal Pandya, Jason Holder, Krishnappa Gowtham, Dushmantha Chameera, Ravi Bishnoi, Avesh Khan",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 10,2022",Lucknow Super Giants have won the toss and have opted to field
 18.6 ,"Avesh Khan to Riyan Parag, 1 run, back of a length outside off, dabbed away to point",RR Inns,20t,Rajasthan Royals,Lucknow Super Giants,"Rajasthan Royals (Playing XI): Jos Buttler, Rassie van der Dussen, Devdutt Padikkal, Sanju Samson(w/c), Shimron Hetmyer, Riyan Parag, Kuldeep Sen, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Yuzvendra Chahal","Lucknow Super Giants (Playing XI): KL Rahul(c), Quinton de Kock(w), Marcus Stoinis, Deepak Hooda, Ayush Badoni, Krunal Pandya, Jason Holder, Krishnappa Gowtham, Dushmantha Chameera, Ravi Bishnoi, Avesh Khan",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 10,2022",Lucknow Super Giants have won the toss and have opted to field
 18.5 ," Avesh Khan to Hetmyer, 1 run, very full and straight, heaved away to deep mid-wicket. Just a single ",RR Inns,20t,Rajasthan Royals,Lucknow Super Giants,"Rajasthan Royals (Playing XI): Jos Buttler, Rassie van der Dussen, Devdutt Padikkal, Sanju Samson(w/c), Shimron Hetmyer, Riyan Parag, Kuldeep Sen, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Yuzvendra Chahal","Lucknow Super Giants (Playing XI): KL Rahul(c), Quinton de Kock(w), Marcus Stoinis, Deepak Hooda, Ayush Badoni, Krunal Pandya, Jason Holder, Krishnappa Gowtham, Dushmantha Chameera, Ravi Bishnoi, Avesh Khan",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 10,2022",Lucknow Super Giants have won the toss and have opted to field
 18.4 ," Avesh Khan to Hetmyer, SIX, Hetmyer is on fire here, gets to fifty with a six! Length ball, right in the arc for Hetmyer and he's dispatched this over deep mid-wicket. What an innings this has been!! Top stuff under pressure ",RR Inns,20t,Rajasthan Royals,Lucknow Super Giants,"Rajasthan Royals (Playing XI): Jos Buttler, Rassie van der Dussen, Devdutt Padikkal, Sanju Samson(w/c), Shimron Hetmyer, Riyan Parag, Kuldeep Sen, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Yuzvendra Chahal","Lucknow Super Giants (Playing XI): KL Rahul(c), Quinton de Kock(w), Marcus Stoinis, Deepak Hooda, Ayush Badoni, Krunal Pandya, Jason Holder, Krishnappa Gowtham, Dushmantha Chameera, Ravi Bishnoi, Avesh Khan",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 10,2022",Lucknow Super Giants have won the toss and have opted to field
 18.3 ," Avesh Khan to Hetmyer, SIX, short and wide, Hetmyer shows that he can go on the off-side as well for a maximum. Slashes it with all the power he can muster, slicing all the way over third man ",RR Inns,20t,Rajasthan Royals,Lucknow Super Giants,"Rajasthan Royals (Playing XI): Jos Buttler, Rassie van der Dussen, Devdutt Padikkal, Sanju Samson(w/c), Shimron Hetmyer, Riyan Parag, Kuldeep Sen, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Yuzvendra Chahal","Lucknow Super Giants (Playing XI): KL Rahul(c), Quinton de Kock(w), Marcus Stoinis, Deepak Hooda, Ayush Badoni, Krunal Pandya, Jason Holder, Krishnappa Gowtham, Dushmantha Chameera, Ravi Bishnoi, Avesh Khan",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 10,2022",Lucknow Super Giants have won the toss and have opted to field
