ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,Toss_winner,toss_chosen
19.6," KM Asif to Anuj Rawat, FOUR, that's a lovely cameo by Anuj Rawat as RCB finish with 171/5! Shuffles across in the crease and whips this towards wide long-on where he manages to beat the fielder who was charging across in the deep. Bracewell gives him a fist bump as the two batters start walking back to the dressing room on the completion of the innings ",RCB Inns,60t,Rajasthan Royals,Royal Challengers Bangalore,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Joe Root, Dhruv Jurel, Shimron Hetmyer, Ravichandran Ashwin, Adam Zampa, Sandeep Sharma, KM Asif, Yuzvendra Chahal","Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Anuj Rawat, Glenn Maxwell, Mahipal Lomror, Dinesh Karthik(w), Michael Bracewell, Wayne Parnell, Karn Sharma, Harshal Patel, Mohammed Siraj","Rajasthan Royals Subs: Devdutt Padikkal, Riyan Parag, Kuldip Yadav, Donavon Ferreira, Navdeep Saini","Royal Challengers Bangalore Subs: Vijaykumar Vyshak, Finn Allen, Shahbaz Ahmed, Himanshu Sharma, Suyash Prabhudessai",IPL,2023,"Sawai Mansingh Stadium,Jaipur","May 14,2023",Royal Challengers Bangalore have won the toss and have opted to bat,Royal Challengers Bangalore won by 112 runs,Wayne Parnell,RCB,bat
19.5," KM Asif to Anuj Rawat, SIX, back-to-back sixes! Right into the slot around middle and leg, Anuj Rawat picks it early and swipes it over deep square leg for an even bigger maximum ",RCB Inns,60t,Rajasthan Royals,Royal Challengers Bangalore,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Joe Root, Dhruv Jurel, Shimron Hetmyer, Ravichandran Ashwin, Adam Zampa, Sandeep Sharma, KM Asif, Yuzvendra Chahal","Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Anuj Rawat, Glenn Maxwell, Mahipal Lomror, Dinesh Karthik(w), Michael Bracewell, Wayne Parnell, Karn Sharma, Harshal Patel, Mohammed Siraj","Rajasthan Royals Subs: Devdutt Padikkal, Riyan Parag, Kuldip Yadav, Donavon Ferreira, Navdeep Saini","Royal Challengers Bangalore Subs: Vijaykumar Vyshak, Finn Allen, Shahbaz Ahmed, Himanshu Sharma, Suyash Prabhudessai",IPL,2023,"Sawai Mansingh Stadium,Jaipur","May 14,2023",Royal Challengers Bangalore have won the toss and have opted to bat,Royal Challengers Bangalore won by 112 runs,Wayne Parnell,RCB,bat
19.4," KM Asif to Anuj Rawat, SIX, 160 up for RCB! Anuj Rawat shimmies down the wicket and swings this length ball over wide long-on for half-a-dozen. 82 metre biggie by Anuj Rawat ",RCB Inns,60t,Rajasthan Royals,Royal Challengers Bangalore,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Joe Root, Dhruv Jurel, Shimron Hetmyer, Ravichandran Ashwin, Adam Zampa, Sandeep Sharma, KM Asif, Yuzvendra Chahal","Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Anuj Rawat, Glenn Maxwell, Mahipal Lomror, Dinesh Karthik(w), Michael Bracewell, Wayne Parnell, Karn Sharma, Harshal Patel, Mohammed Siraj","Rajasthan Royals Subs: Devdutt Padikkal, Riyan Parag, Kuldip Yadav, Donavon Ferreira, Navdeep Saini","Royal Challengers Bangalore Subs: Vijaykumar Vyshak, Finn Allen, Shahbaz Ahmed, Himanshu Sharma, Suyash Prabhudessai",IPL,2023,"Sawai Mansingh Stadium,Jaipur","May 14,2023",Royal Challengers Bangalore have won the toss and have opted to bat,Royal Challengers Bangalore won by 112 runs,Wayne Parnell,RCB,bat
19.3," KM Asif to Anuj Rawat, no run, on a length outside off, Anuj Rawat has a swing and a miss ",RCB Inns,60t,Rajasthan Royals,Royal Challengers Bangalore,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Joe Root, Dhruv Jurel, Shimron Hetmyer, Ravichandran Ashwin, Adam Zampa, Sandeep Sharma, KM Asif, Yuzvendra Chahal","Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Anuj Rawat, Glenn Maxwell, Mahipal Lomror, Dinesh Karthik(w), Michael Bracewell, Wayne Parnell, Karn Sharma, Harshal Patel, Mohammed Siraj","Rajasthan Royals Subs: Devdutt Padikkal, Riyan Parag, Kuldip Yadav, Donavon Ferreira, Navdeep Saini","Royal Challengers Bangalore Subs: Vijaykumar Vyshak, Finn Allen, Shahbaz Ahmed, Himanshu Sharma, Suyash Prabhudessai",IPL,2023,"Sawai Mansingh Stadium,Jaipur","May 14,2023",Royal Challengers Bangalore have won the toss and have opted to bat,Royal Challengers Bangalore won by 112 runs,Wayne Parnell,RCB,bat
19.2," KM Asif to M Bracewell, 1 run, back of a length around middle and leg, Bracewell heaves it through the leg-side for a single ",RCB Inns,60t,Rajasthan Royals,Royal Challengers Bangalore,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Joe Root, Dhruv Jurel, Shimron Hetmyer, Ravichandran Ashwin, Adam Zampa, Sandeep Sharma, KM Asif, Yuzvendra Chahal","Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Anuj Rawat, Glenn Maxwell, Mahipal Lomror, Dinesh Karthik(w), Michael Bracewell, Wayne Parnell, Karn Sharma, Harshal Patel, Mohammed Siraj","Rajasthan Royals Subs: Devdutt Padikkal, Riyan Parag, Kuldip Yadav, Donavon Ferreira, Navdeep Saini","Royal Challengers Bangalore Subs: Vijaykumar Vyshak, Finn Allen, Shahbaz Ahmed, Himanshu Sharma, Suyash Prabhudessai",IPL,2023,"Sawai Mansingh Stadium,Jaipur","May 14,2023",Royal Challengers Bangalore have won the toss and have opted to bat,Royal Challengers Bangalore won by 112 runs,Wayne Parnell,RCB,bat
19.1," KM Asif to Anuj Rawat, 1 run, slower one outside off, angled across the batter, Anuj Rawat swings and gets an inside edge towards short fine leg ",RCB Inns,60t,Rajasthan Royals,Royal Challengers Bangalore,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Joe Root, Dhruv Jurel, Shimron Hetmyer, Ravichandran Ashwin, Adam Zampa, Sandeep Sharma, KM Asif, Yuzvendra Chahal","Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Anuj Rawat, Glenn Maxwell, Mahipal Lomror, Dinesh Karthik(w), Michael Bracewell, Wayne Parnell, Karn Sharma, Harshal Patel, Mohammed Siraj","Rajasthan Royals Subs: Devdutt Padikkal, Riyan Parag, Kuldip Yadav, Donavon Ferreira, Navdeep Saini","Royal Challengers Bangalore Subs: Vijaykumar Vyshak, Finn Allen, Shahbaz Ahmed, Himanshu Sharma, Suyash Prabhudessai",IPL,2023,"Sawai Mansingh Stadium,Jaipur","May 14,2023",Royal Challengers Bangalore have won the toss and have opted to bat,Royal Challengers Bangalore won by 112 runs,Wayne Parnell,RCB,bat
18.6," Chahal to M Bracewell, 2 runs, plays this towards long-on for a couple of quick runs to end the over. In fact, end of an expensive over by Chahal, 4-0-37-0 ",RCB Inns,60t,Rajasthan Royals,Royal Challengers Bangalore,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Joe Root, Dhruv Jurel, Shimron Hetmyer, Ravichandran Ashwin, Adam Zampa, Sandeep Sharma, KM Asif, Yuzvendra Chahal","Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Anuj Rawat, Glenn Maxwell, Mahipal Lomror, Dinesh Karthik(w), Michael Bracewell, Wayne Parnell, Karn Sharma, Harshal Patel, Mohammed Siraj","Rajasthan Royals Subs: Devdutt Padikkal, Riyan Parag, Kuldip Yadav, Donavon Ferreira, Navdeep Saini","Royal Challengers Bangalore Subs: Vijaykumar Vyshak, Finn Allen, Shahbaz Ahmed, Himanshu Sharma, Suyash Prabhudessai",IPL,2023,"Sawai Mansingh Stadium,Jaipur","May 14,2023",Royal Challengers Bangalore have won the toss and have opted to bat,Royal Challengers Bangalore won by 112 runs,Wayne Parnell,RCB,bat
18.5," Chahal to Anuj Rawat, 1 run, heaved through the leg-side for a single by Anuj Rawat ",RCB Inns,60t,Rajasthan Royals,Royal Challengers Bangalore,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Joe Root, Dhruv Jurel, Shimron Hetmyer, Ravichandran Ashwin, Adam Zampa, Sandeep Sharma, KM Asif, Yuzvendra Chahal","Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Anuj Rawat, Glenn Maxwell, Mahipal Lomror, Dinesh Karthik(w), Michael Bracewell, Wayne Parnell, Karn Sharma, Harshal Patel, Mohammed Siraj","Rajasthan Royals Subs: Devdutt Padikkal, Riyan Parag, Kuldip Yadav, Donavon Ferreira, Navdeep Saini","Royal Challengers Bangalore Subs: Vijaykumar Vyshak, Finn Allen, Shahbaz Ahmed, Himanshu Sharma, Suyash Prabhudessai",IPL,2023,"Sawai Mansingh Stadium,Jaipur","May 14,2023",Royal Challengers Bangalore have won the toss and have opted to bat,Royal Challengers Bangalore won by 112 runs,Wayne Parnell,RCB,bat
18.4," Chahal to Anuj Rawat, FOUR, a really high full toss by Chahal, Anuj Rawat goes for the reverse swipe, gets a top edge that flies over the man at short third man ",RCB Inns,60t,Rajasthan Royals,Royal Challengers Bangalore,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Joe Root, Dhruv Jurel, Shimron Hetmyer, Ravichandran Ashwin, Adam Zampa, Sandeep Sharma, KM Asif, Yuzvendra Chahal","Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Anuj Rawat, Glenn Maxwell, Mahipal Lomror, Dinesh Karthik(w), Michael Bracewell, Wayne Parnell, Karn Sharma, Harshal Patel, Mohammed Siraj","Rajasthan Royals Subs: Devdutt Padikkal, Riyan Parag, Kuldip Yadav, Donavon Ferreira, Navdeep Saini","Royal Challengers Bangalore Subs: Vijaykumar Vyshak, Finn Allen, Shahbaz Ahmed, Himanshu Sharma, Suyash Prabhudessai",IPL,2023,"Sawai Mansingh Stadium,Jaipur","May 14,2023",Royal Challengers Bangalore have won the toss and have opted to bat,Royal Challengers Bangalore won by 112 runs,Wayne Parnell,RCB,bat
18.3," Chahal to M Bracewell, 1 run, goes for the aerial route and mistimes his lofted shot to long-on, lands just in front of the fielder in the deep ",RCB Inns,60t,Rajasthan Royals,Royal Challengers Bangalore,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Joe Root, Dhruv Jurel, Shimron Hetmyer, Ravichandran Ashwin, Adam Zampa, Sandeep Sharma, KM Asif, Yuzvendra Chahal","Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Anuj Rawat, Glenn Maxwell, Mahipal Lomror, Dinesh Karthik(w), Michael Bracewell, Wayne Parnell, Karn Sharma, Harshal Patel, Mohammed Siraj","Rajasthan Royals Subs: Devdutt Padikkal, Riyan Parag, Kuldip Yadav, Donavon Ferreira, Navdeep Saini","Royal Challengers Bangalore Subs: Vijaykumar Vyshak, Finn Allen, Shahbaz Ahmed, Himanshu Sharma, Suyash Prabhudessai",IPL,2023,"Sawai Mansingh Stadium,Jaipur","May 14,2023",Royal Challengers Bangalore have won the toss and have opted to bat,Royal Challengers Bangalore won by 112 runs,Wayne Parnell,RCB,bat
18.2," Chahal to Anuj Rawat, 1 run, goes down on his knee and heaves this floated delivery to wide long-on for a single ",RCB Inns,60t,Rajasthan Royals,Royal Challengers Bangalore,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Joe Root, Dhruv Jurel, Shimron Hetmyer, Ravichandran Ashwin, Adam Zampa, Sandeep Sharma, KM Asif, Yuzvendra Chahal","Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Anuj Rawat, Glenn Maxwell, Mahipal Lomror, Dinesh Karthik(w), Michael Bracewell, Wayne Parnell, Karn Sharma, Harshal Patel, Mohammed Siraj","Rajasthan Royals Subs: Devdutt Padikkal, Riyan Parag, Kuldip Yadav, Donavon Ferreira, Navdeep Saini","Royal Challengers Bangalore Subs: Vijaykumar Vyshak, Finn Allen, Shahbaz Ahmed, Himanshu Sharma, Suyash Prabhudessai",IPL,2023,"Sawai Mansingh Stadium,Jaipur","May 14,2023",Royal Challengers Bangalore have won the toss and have opted to bat,Royal Challengers Bangalore won by 112 runs,Wayne Parnell,RCB,bat
