ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,Toss_winner,toss_chosen
19.6," T Natarajan to Vaibhav Arora, 2 runs, low full toss, Vaibhav Arora takes a blind swing and gets it to the left of long-off. Just three conceded off the last over.  ",KKR Inns,47t,Sunrisers Hyderabad,Kolkata Knight Riders,"Sunrisers Hyderabad (Playing XI): Mayank Agarwal, Abhishek Sharma, Aiden Markram(c), Heinrich Klaasen(w), Harry Brook, Abdul Samad, Marco Jansen, Mayank Markande, Bhuvneshwar Kumar, Kartik Tyagi, T Natarajan","Kolkata Knight Riders (Playing XI): Rahmanullah Gurbaz(w), Jason Roy, Venkatesh Iyer, Nitish Rana(c), Andre Russell, Rinku Singh, Sunil Narine, Shardul Thakur, Vaibhav Arora, Harshit Rana, Varun Chakaravarthy","Sunrisers Hyderabad Subs: Rahul Tripathi, Vivrant Sharma, Glenn Phillips, Nitish Reddy, Sanvir Singh","Kolkata Knight Riders Subs: Suyash Sharma, Anukul Roy, N Jagadeesan, Lockie Ferguson, Kulwant Khejroliya",IPL,2023,"Rajiv Gandhi International Stadium,Hyderabad","May 04,2023",Kolkata Knight Riders have won the toss and have opted to bat,Kolkata Knight Riders won by 5 runs,Varun Chakaravarthy,KKR,bat
19.5," T Natarajan to Anukul Roy, 1 run, once again in the blockhole, Anukul inside edges towards short fine ",KKR Inns,47t,Sunrisers Hyderabad,Kolkata Knight Riders,"Sunrisers Hyderabad (Playing XI): Mayank Agarwal, Abhishek Sharma, Aiden Markram(c), Heinrich Klaasen(w), Harry Brook, Abdul Samad, Marco Jansen, Mayank Markande, Bhuvneshwar Kumar, Kartik Tyagi, T Natarajan","Kolkata Knight Riders (Playing XI): Rahmanullah Gurbaz(w), Jason Roy, Venkatesh Iyer, Nitish Rana(c), Andre Russell, Rinku Singh, Sunil Narine, Shardul Thakur, Vaibhav Arora, Harshit Rana, Varun Chakaravarthy","Sunrisers Hyderabad Subs: Rahul Tripathi, Vivrant Sharma, Glenn Phillips, Nitish Reddy, Sanvir Singh","Kolkata Knight Riders Subs: Suyash Sharma, Anukul Roy, N Jagadeesan, Lockie Ferguson, Kulwant Khejroliya",IPL,2023,"Rajiv Gandhi International Stadium,Hyderabad","May 04,2023",Kolkata Knight Riders have won the toss and have opted to bat,Kolkata Knight Riders won by 5 runs,Varun Chakaravarthy,KKR,bat
19.4," T Natarajan to Anukul Roy, no run, yorker, the perfect yorker and Anukul can only push it back to Natarajan ",KKR Inns,47t,Sunrisers Hyderabad,Kolkata Knight Riders,"Sunrisers Hyderabad (Playing XI): Mayank Agarwal, Abhishek Sharma, Aiden Markram(c), Heinrich Klaasen(w), Harry Brook, Abdul Samad, Marco Jansen, Mayank Markande, Bhuvneshwar Kumar, Kartik Tyagi, T Natarajan","Kolkata Knight Riders (Playing XI): Rahmanullah Gurbaz(w), Jason Roy, Venkatesh Iyer, Nitish Rana(c), Andre Russell, Rinku Singh, Sunil Narine, Shardul Thakur, Vaibhav Arora, Harshit Rana, Varun Chakaravarthy","Sunrisers Hyderabad Subs: Rahul Tripathi, Vivrant Sharma, Glenn Phillips, Nitish Reddy, Sanvir Singh","Kolkata Knight Riders Subs: Suyash Sharma, Anukul Roy, N Jagadeesan, Lockie Ferguson, Kulwant Khejroliya",IPL,2023,"Rajiv Gandhi International Stadium,Hyderabad","May 04,2023",Kolkata Knight Riders have won the toss and have opted to bat,Kolkata Knight Riders won by 5 runs,Varun Chakaravarthy,KKR,bat
19.3," T Natarajan to Harshit Rana, out Harshit Rana Run Out!! Two in two!! This was pace off outside off, Rana tried to run it down but couldn't connect. They try to sneak the bye, and Klaasen misses, but Natarajan was backing up and hits the bull's eye at the non-striker's end. Harshit Rana run out (Klaasen/T Natarajan) 0(1) ",KKR Inns,47t,Sunrisers Hyderabad,Kolkata Knight Riders,"Sunrisers Hyderabad (Playing XI): Mayank Agarwal, Abhishek Sharma, Aiden Markram(c), Heinrich Klaasen(w), Harry Brook, Abdul Samad, Marco Jansen, Mayank Markande, Bhuvneshwar Kumar, Kartik Tyagi, T Natarajan","Kolkata Knight Riders (Playing XI): Rahmanullah Gurbaz(w), Jason Roy, Venkatesh Iyer, Nitish Rana(c), Andre Russell, Rinku Singh, Sunil Narine, Shardul Thakur, Vaibhav Arora, Harshit Rana, Varun Chakaravarthy","Sunrisers Hyderabad Subs: Rahul Tripathi, Vivrant Sharma, Glenn Phillips, Nitish Reddy, Sanvir Singh","Kolkata Knight Riders Subs: Suyash Sharma, Anukul Roy, N Jagadeesan, Lockie Ferguson, Kulwant Khejroliya",IPL,2023,"Rajiv Gandhi International Stadium,Hyderabad","May 04,2023",Kolkata Knight Riders have won the toss and have opted to bat,Kolkata Knight Riders won by 5 runs,Varun Chakaravarthy,KKR,bat
19.2," T Natarajan to Rinku Singh, out Caught by Abdul Samad!! Caught Samad, bowled Natarajan once again!! And this was a top drawer catch. Low full toss from the bowler, Rinku takes his chance with a swing towards deep mid-wicket. Doesn't get under it and Samad runs in, times his dive perfectly at takes the catch!! So much for denying the single... Rinku Singh c Abdul Samad b T Natarajan 46(35) [4s-4 6s-1] ",KKR Inns,47t,Sunrisers Hyderabad,Kolkata Knight Riders,"Sunrisers Hyderabad (Playing XI): Mayank Agarwal, Abhishek Sharma, Aiden Markram(c), Heinrich Klaasen(w), Harry Brook, Abdul Samad, Marco Jansen, Mayank Markande, Bhuvneshwar Kumar, Kartik Tyagi, T Natarajan","Kolkata Knight Riders (Playing XI): Rahmanullah Gurbaz(w), Jason Roy, Venkatesh Iyer, Nitish Rana(c), Andre Russell, Rinku Singh, Sunil Narine, Shardul Thakur, Vaibhav Arora, Harshit Rana, Varun Chakaravarthy","Sunrisers Hyderabad Subs: Rahul Tripathi, Vivrant Sharma, Glenn Phillips, Nitish Reddy, Sanvir Singh","Kolkata Knight Riders Subs: Suyash Sharma, Anukul Roy, N Jagadeesan, Lockie Ferguson, Kulwant Khejroliya",IPL,2023,"Rajiv Gandhi International Stadium,Hyderabad","May 04,2023",Kolkata Knight Riders have won the toss and have opted to bat,Kolkata Knight Riders won by 5 runs,Varun Chakaravarthy,KKR,bat
19.1," T Natarajan to Rinku Singh, no run, yorker on off, Rinku pushes it to the right of extra cover. Denies the single!! ",KKR Inns,47t,Sunrisers Hyderabad,Kolkata Knight Riders,"Sunrisers Hyderabad (Playing XI): Mayank Agarwal, Abhishek Sharma, Aiden Markram(c), Heinrich Klaasen(w), Harry Brook, Abdul Samad, Marco Jansen, Mayank Markande, Bhuvneshwar Kumar, Kartik Tyagi, T Natarajan","Kolkata Knight Riders (Playing XI): Rahmanullah Gurbaz(w), Jason Roy, Venkatesh Iyer, Nitish Rana(c), Andre Russell, Rinku Singh, Sunil Narine, Shardul Thakur, Vaibhav Arora, Harshit Rana, Varun Chakaravarthy","Sunrisers Hyderabad Subs: Rahul Tripathi, Vivrant Sharma, Glenn Phillips, Nitish Reddy, Sanvir Singh","Kolkata Knight Riders Subs: Suyash Sharma, Anukul Roy, N Jagadeesan, Lockie Ferguson, Kulwant Khejroliya",IPL,2023,"Rajiv Gandhi International Stadium,Hyderabad","May 04,2023",Kolkata Knight Riders have won the toss and have opted to bat,Kolkata Knight Riders won by 5 runs,Varun Chakaravarthy,KKR,bat
18.6," Bhuvneshwar to Rinku Singh, 1 run, in the blockhole again, clipped towards deep mid-wicket ",KKR Inns,47t,Sunrisers Hyderabad,Kolkata Knight Riders,"Sunrisers Hyderabad (Playing XI): Mayank Agarwal, Abhishek Sharma, Aiden Markram(c), Heinrich Klaasen(w), Harry Brook, Abdul Samad, Marco Jansen, Mayank Markande, Bhuvneshwar Kumar, Kartik Tyagi, T Natarajan","Kolkata Knight Riders (Playing XI): Rahmanullah Gurbaz(w), Jason Roy, Venkatesh Iyer, Nitish Rana(c), Andre Russell, Rinku Singh, Sunil Narine, Shardul Thakur, Vaibhav Arora, Harshit Rana, Varun Chakaravarthy","Sunrisers Hyderabad Subs: Rahul Tripathi, Vivrant Sharma, Glenn Phillips, Nitish Reddy, Sanvir Singh","Kolkata Knight Riders Subs: Suyash Sharma, Anukul Roy, N Jagadeesan, Lockie Ferguson, Kulwant Khejroliya",IPL,2023,"Rajiv Gandhi International Stadium,Hyderabad","May 04,2023",Kolkata Knight Riders have won the toss and have opted to bat,Kolkata Knight Riders won by 5 runs,Varun Chakaravarthy,KKR,bat
18.5," Bhuvneshwar to Anukul Roy, 1 run, Bhuvneshwar goes yorker, Anukul dances out and digs it out towards long-off ",KKR Inns,47t,Sunrisers Hyderabad,Kolkata Knight Riders,"Sunrisers Hyderabad (Playing XI): Mayank Agarwal, Abhishek Sharma, Aiden Markram(c), Heinrich Klaasen(w), Harry Brook, Abdul Samad, Marco Jansen, Mayank Markande, Bhuvneshwar Kumar, Kartik Tyagi, T Natarajan","Kolkata Knight Riders (Playing XI): Rahmanullah Gurbaz(w), Jason Roy, Venkatesh Iyer, Nitish Rana(c), Andre Russell, Rinku Singh, Sunil Narine, Shardul Thakur, Vaibhav Arora, Harshit Rana, Varun Chakaravarthy","Sunrisers Hyderabad Subs: Rahul Tripathi, Vivrant Sharma, Glenn Phillips, Nitish Reddy, Sanvir Singh","Kolkata Knight Riders Subs: Suyash Sharma, Anukul Roy, N Jagadeesan, Lockie Ferguson, Kulwant Khejroliya",IPL,2023,"Rajiv Gandhi International Stadium,Hyderabad","May 04,2023",Kolkata Knight Riders have won the toss and have opted to bat,Kolkata Knight Riders won by 5 runs,Varun Chakaravarthy,KKR,bat
18.4," Bhuvneshwar to Anukul Roy, FOUR, FOUR more!! Maybe that's why he's the IMPACT PLAYER. This was a slot ball at the stumps, Anukul slams it betwen deep mid-wicket and long-on. In the gap for four ",KKR Inns,47t,Sunrisers Hyderabad,Kolkata Knight Riders,"Sunrisers Hyderabad (Playing XI): Mayank Agarwal, Abhishek Sharma, Aiden Markram(c), Heinrich Klaasen(w), Harry Brook, Abdul Samad, Marco Jansen, Mayank Markande, Bhuvneshwar Kumar, Kartik Tyagi, T Natarajan","Kolkata Knight Riders (Playing XI): Rahmanullah Gurbaz(w), Jason Roy, Venkatesh Iyer, Nitish Rana(c), Andre Russell, Rinku Singh, Sunil Narine, Shardul Thakur, Vaibhav Arora, Harshit Rana, Varun Chakaravarthy","Sunrisers Hyderabad Subs: Rahul Tripathi, Vivrant Sharma, Glenn Phillips, Nitish Reddy, Sanvir Singh","Kolkata Knight Riders Subs: Suyash Sharma, Anukul Roy, N Jagadeesan, Lockie Ferguson, Kulwant Khejroliya",IPL,2023,"Rajiv Gandhi International Stadium,Hyderabad","May 04,2023",Kolkata Knight Riders have won the toss and have opted to bat,Kolkata Knight Riders won by 5 runs,Varun Chakaravarthy,KKR,bat
18.3," Bhuvneshwar to Anukul Roy, FOUR, pace off outside off, Anukul takes a wild swing and gets an outside edge that goes between keeper and short third ",KKR Inns,47t,Sunrisers Hyderabad,Kolkata Knight Riders,"Sunrisers Hyderabad (Playing XI): Mayank Agarwal, Abhishek Sharma, Aiden Markram(c), Heinrich Klaasen(w), Harry Brook, Abdul Samad, Marco Jansen, Mayank Markande, Bhuvneshwar Kumar, Kartik Tyagi, T Natarajan","Kolkata Knight Riders (Playing XI): Rahmanullah Gurbaz(w), Jason Roy, Venkatesh Iyer, Nitish Rana(c), Andre Russell, Rinku Singh, Sunil Narine, Shardul Thakur, Vaibhav Arora, Harshit Rana, Varun Chakaravarthy","Sunrisers Hyderabad Subs: Rahul Tripathi, Vivrant Sharma, Glenn Phillips, Nitish Reddy, Sanvir Singh","Kolkata Knight Riders Subs: Suyash Sharma, Anukul Roy, N Jagadeesan, Lockie Ferguson, Kulwant Khejroliya",IPL,2023,"Rajiv Gandhi International Stadium,Hyderabad","May 04,2023",Kolkata Knight Riders have won the toss and have opted to bat,Kolkata Knight Riders won by 5 runs,Varun Chakaravarthy,KKR,bat
